,text
14115,i like it but this game is low prefix i recast less right prefix
14116,no no no no this app is the best naa try it its so good
14117,please add bus in purchase vehicles
14118,love the game.
14119,super game
14120,game gun thanks this game
14121,i love to play this game
14122,good
14123,good
14124,banished
14125,artist
14126,az
14127,zabardast ha
14128,sr
14129,very good game
14130,good morning
14131,can you add volkswagen golf 3? then i will give you 5 $tags
14132,i like it cause it has trucks and cars
14133,good driver ❤❤❤
14134,it's the best game
14135,very good
14136,uss
14137,wow
14138,it's incredible
14139,this game is very nice
14140,great price
14141,amazing.
14142,the delivery takes a little bit. so far very happy with my purchases.
14143,delivery is very fast but they send me the wrong items. i ordered 30ml they send 10ml and i ordered 50grams they send me a very small one.
14144,"the pricing on the app is not properly reflected. i keep seeing items that are listed for a certain price, it's three or four times higher when i add it to my cart, and when i go into the cart it tells me i saved $2 on a price that's even higher than all of the prices. it is very receiving to think you are getting something for $7 when it is actually $37"
14145,great but clothes are risky
14146,love the variety and the prices. only down fall is the jewelry says 925 but some of them change color on the rings.
14147,great buys if not happy or damaged u get a refund very polite staff
14148,l enjoy ordering from wish
14149,absolutely perfect products well worth buying
14150,love it
14151,cool stuff for low price always good
14152,cool stuff and easy user interface
14153,wish had just about everything you ever wanted. the only problem is the quality of the products.
14154,i am having a great time finding bargain. i do resent seeing an item super cheap only to find it is a none working model and for 5 times the price you can have what you really like. bait and switch leaves a bad taste in my mouth. now a found a item hat was a giveaway price with shipping being a lot more. but i went for it. a month past due i start complaining i get told wait and wait. eventually i was told no item. but they would refund the money ( next to nothing) but not the shipping.
14155,well that was easy!
14156,"what i didnt like was when a product was ordered, it always took awhile , but my main concern was the country the item came from & the only thing i understood on the envelope was my name & address. nothing on the envelope was in english. and some items had no instructions to go by. and the jewelry i've bought lots of times that claimed was sterling silver ended up fading away to copper. i wear them without complaint just it's a little embarrassing. one more thing a lot of the items are free , but"
14157,i had 3 or 4 things not show
14158,good
14159,so far so good so long as it's three wish
14160,every time i have a problem and i try to send a picture it kicks me out of customer service and i don't get anything straight
14161,i absolutely love it
14162,wonderful
14163,best
14164,i think the jean should be labeled in actual sizes like is xs 0-1 s 3-5 m 6-8 l 9-10 xl 10-12 and ect like makes you worried about ordering them because jeans are little more on the expensive side so you want them to fit
14165,i think is good app
14166,great. everyday things i need at great low prices. very satisfied.
14167,always fun to receive these special sewing items.
14168,"bought special offer items £1, delivery charge £1, and definitely you won't able get it, sure you received the msg within 24hrs said, unfortunately, you purchased unable to process. 9 times been cancelled my purchased. ridiculous! if you can't sell the offer items, why put it on ? and not able to contact the customer service to ask questions as well not recommend!"
14169,so much sex toys
14170,wish always satisfies with good prices and quality merchandise!
14171,"the worst experience ever notice how my review gets no apology or acknowledgement look at there reviews not what you see here they are ling they have more complaints than good i've been slammed over 22 times,not,once,is,my,orders,orders, correct, or ,on ,time they, canceled 12 of my orders due to being out of stock wasn't notified until delivery date & they stole $118 out of my bank for something i didn't pay for never refused my account or made it right be careful you don't fall a victim to"
14172,it is a great place to save money and get coo stuff
14173,great deals
14174,love it
14175,nice app
14176,very satisfied
14177,prices arent what is listed. and they only respond to the positive reviews on here
14178,love this app. me and my husband both use this app. i love the jewelry products always have great prices and a great product selection. my husband looks at everything on the app he has made several purchases. i have been using the app for years and i have never had a problem with any of my orders. the only thing i wish was different was the shipping time. i can't afford to get express shipping on all the items i buy each time. could y'all please try and figure something out about faster shipping
14179,i love this app. my only complaint would be the time limits are too short of time to continue shopping.
14180,"very disappointed with this (wish)app . its being 1 month and iam still not able to track my order. i want my money back,but this app is not working."
14181,love all the items you have to choose from..it's like having a virtual flea market
14182,wicked sick deals for new people
14183,always great exsperance
14184,the price of goods is fab but then it doubles the cost for shipping. so not ordering as much
14185,it's great
14186,very pleased!
14187,when you pick stuff up from the store it's a little confusing better than that wishes pretty good program
14188,the items never arrived and when i requested for refund they blocked me. now i want to order something else they required a photo id 🤠.
14189,great place to purchase things awesome pricing
14190,happy with this app
14191,mmm
14192,love.this.ap
14193,why are you charged a dollar when you don't order?
14194,i can't figure out how to place a order
14195,crazy 🤪
14196,"great app for shopping hard to find items. some of the items i have received do not work, but most of them work great and the prices are a bargain if you are willing to wait. a very good return policy."
14197,you not pay long time
14198,"i'm very disappointed, i've placed an order, wish say it was delivered, but, i did not receive it, so what happened,??????."
14199,wish is good to ship.
14200,great items and great prices
14201,awesome all around
14202,very good not had any issues div it
14203,shop for anything you need
14204,excellent
14205,"love it"" we are moving so i will put it up in our new bathroom soon i will show you a picture when i put it up in our new place"
14206,"love this app! i'm still broke even though its affordable, i just buy more stuff! great for people who have patience on receiving their packages but dont plan on the items being there on time. but hey, you cant have your cake and eat it too!"
14207,decent
14208,this app is amazing! it has everything i could want and more for a cheap price.
14209,"love wish, late delivery wait."
14210,great quick site good delivery
14211,love love love the wish app. i wish i would have found it sooner. lol.
14212,beautiful just beautiful perfect timing
14213,wish is amazing everything i have received has been good quality
14214,great stuff and even better priced
14215,ok but the stuff is cheap and you get what you pay for! some stuff is worth it
14216,so awesome
14217,good
14218,love this app
14219,its great
14220,price quality always good. i am a very happy customer.
14221,mostly quality merchandise until items i recieved with recent order.
14222,when must read description fully and past customers notes are very helpful to help make your purchases.
14223,awesome thanks.
14224,"i've not had a complaint about the products so far, delivery is usually late because of distance but i don't mind. i love shopping on wish"
14225,just wish we could get products faster sometimes
14226,cool app
14227,"so far so good , the items i have bought have been accurate."
14228,great items & prices!
14229,i love wish. that's just my opinion.
14230,they lie about the actual price.
14231,lovely
14232,this is an exceptional app where you can find great deals on a variety of items. there are always new things to choose from and the price is better than retail!
14233,i think this app is by far one of the greatest apps i ever order from and there delivery time is fast
14234,i love wish. i wish the shipping was faster.
14235,90% of the time it is great but like on line orders they can be wrong.
14236,exceptional
14237,"really good offers will be cancelled by wish anyway. or ""couldn't be processed""... so what's the point?"
14238,nice app
14239,great
14240,jay.math.thi
14241,
14242,a ton of fun ringtones and it's really easy to navigate. glitches from time to time (nothing too crazy just freezes) not enough that i will install
14243,hd view
14244,i have had this app before but i do now
14245,love it its great
14246,wow
14247,it's absolutely fantastic app because almost all the ringtones are available in this apps
14248,good
14249,not enough wildlife wallpaper
14250,good
14251,i don't mind the ads..it pays their bills... i've been with using edge since 2016 i love their stuff
14252,best one
14253,good
14254,perfect for everything
14255,it good
14256,nice app
14257,makes me honey
14258,great selection
14259,"overtime i look up anything, i can find what i'm looking for. love this🥳"
14260,good
14261,i like it app so use ful ringtones
14262,update: wish i could give 0 stars. the cartoon porn ads made me install it. nothing worth seeing that garbage!!! i was really surprised at the variety. they had most games and old shows. they even had rocket knight and batman beyond. i loved the gorgeous orchestral grupo valley can't even find on youtube.
14263,barely any songs that i like are on this app.
14264,nice app
14265,great. have used it long time
14266,super
14267,good
14268,worst app
14269,great ringtone's!
14270,i just love it!!!!!!
14271,"nice collection of color, sounds, and artists! i can always count on edge, to deliver what i'm craving!"
14272,not actual songs. its recordings or remake instrumentals and to think people pay for this app
14273,always has the ringtones i am looking for
14274,not bad at all
14275,sure does
14276,good
14277,would love more options but i'm not paying that much for it
14278,"great wallpapers, great ringtones. i love this app!!"
14279,i love this app
14280,good aap for setting beautiful ringtones.
14281,what to get songs ringtones better i can't find songs that work and are really good
14282,good spot to get ringtones!
14283,love it
14284,"love it, i've found my far wallpapers with good quality and amazing designs"
14285,i love it
14286,nice app
14287,best aap
14288,super
14289,waste app . irritation advertising
14290,nice
14291,"decent content, super aggressive adds."
14292,super
14293,nice
14294,1no. app hai
14295,sum
14296,super
14297,i don't like this anymore and it's very annoying now i don't like feeling forced to buy this or watch ads. 🤦‍♂️
14298,love all the different options.
14299,nice
14300,this app is not for republicans trump 24
14301,korea na kotaku ne della juku ra
14302,everything i need is here with one click. thanks edge
14303,the best ringen app
14304,when i want to download a songs it does not show me in my gallery and who does it do that places fix it
14305,bad
14306,good apps
14307,i searched for many tunes and all the time it can not show the pakistani drama and indian tunes although it show useless stuff
14308,great
14309,number 1 app love
14310,very good
14311,these app is very awesome app i will change my wallpaper and ringtones such a beautiful application
14312,goods work
14313,always good
14314,i love this app. easy to use and i get lost in checking out all the stuff.
14315,best app ever made on earth
14316,excellent app
14317,used to work great ❤️
14318,it's very nice experienced by using this app when u install this u'll forget to download ringtones wallpapers from any other app
14319,awful ad experience
14320,super app
14321,"too much private information is harvested. terms of use do not benefit app user, just edge. too many ads. too much bs comes with this app. would rate it zero stars if it would let me."
14322,done
14323,a little hard to navigate due to so many options but dang i like having options!
14324,very good i love this apps very niceerrr
14325,osm
14326,the best wallpaper i had ever seen.ads nevermind and the function is awesome .thanks for made this type of app.
14327,awesome ringtones
14328,nice
14329,nice
14330,i have enjoyed using it but occasional crashes are a bit irritating.
14331,good collection of ringtones
14332,love it !
14333,"i love edge,it so cool"
14334,وحش
14335,mast
14336,nice
14337,super
14338,wow superb
14339,awesome social app like a facebook plus tiktok function
14340,"ужасное приложение, в котором полно багов"
14341,"it's like your new fb unites millions of people, creating limitless possibilities for communication, entertainment, business and social networking from anywhere in the world. live chat with your friends and make calls to your loved ones. on vk, you can find thematic communities, new friends, try dating online and much more. all your social media needs can be met on vk! send private messages to other users or create group chats to share news and make plans with friends, family and colleagues."
14342,"везде реклама, я даже свои же видео не могу посмотреть без рекламы"
14343,vk problem his password is incorrect problem password is correct
14344,नाइस एप
14345,please review app privacy it contain more bugs
14346,good vk apk
14347,worst app
14348,почему не добавить возможность скачивания подкастов???? это первое что хочется сделать с подкастами..
14349,its is nice to use for games hahahahhaha!!
14350,rica are vi and include your account and device
14351,sorting audio by length doesn't work.
14352,very good app
14353,vk app thanks so much ❤️ good app
14354,"account got hacked. they changed my name, password, and my number on the account. they have been messaging people. vk wont let me get my account back so i just get emails about everything they are doing to my account. very disappointed in this team."
14355,this is a very dhikku mailing app params chest
14356,diamond three-player 77777
14357,russian government is owned this social media vk
14358,tree
14359,very nice
14360,i install this application only for mobile legends
14361,не круто
14362,nice
14363,как добавить ярлык сообщества на главный экран??
14364,game bad
14365,it's perfect game i have ever played graphics are osm
14366,what is this pub.remove the in game vacancy this is have no use.so add something on silver crat or remove the fixing coin
14367,i like
14368,vip
14369,why this game is not downloading in my phone
14370,very nice game
14371,narendra singh
14372,❤️❤️❤️late gg
14373,very bad
14374,i love this game
14375,excellent
14376,bob
14377,it'nice game but in the game are bots
14378,worst. game ever no server selecting option and hacker i am in depression i thinking that fix depression but no plz remove this game from the playstore
14379,the game is now bad and broken
14380,woooooooooooow
14381,nice game
14382,op. game
14383,pubgmobile and pub mobile lite are the best
14384,add played and a new map and add fbb
14385,"pub is a decision exclusive game with the best graphics ,just an online tap and your ready to play with friends as teammates ,,, best game ever made"
14386,a lot of issues i'm not going to explain please fix this issues shame on you developers
14387,i love this game it is the nice game i have ever played
14388,dear please votes dont royalpass with bc
14389,boring game
14390,excellent
14391,نرجو بتنزيل تحديث جديد يصلح كل شي في العبه في اسرع وقت
14392,this is very funny
14393,best game
14394,please fix glitch and video reward and joystick and
14395,wow nice pub lite
14396,game keeps switching my servers from asia to western servers
14397,
14398,my love pub lite
14399,fix it
14400,pub lite is best game
14401,pub is the best game
14402,8k
14403,best
14404,rabbi game
14405,i like the gems
14406,nice
14407,sever change option not available
14408,oooookkkkk
14409,"games fun but there some issues that occur in the lobby eg""loading in for more than or less than 3-6 mins,""and before i forget the server you play in im in africa i play on europe and i get connected in asia or north or south america pls fix it."
14410,fist the damage it to low and have glitch in td a have a lot of hacker
14411,nice mobile gaming but game me server ka baht hi problem pub mobile lite baht yada server meta hai
14412,it to tg
14413,os.
14414,it is extremely lovely
14415,new update lao yar
14416,interesting
14417,joinbeta
14418,md abbr sk
14419,pub mobile phone
14420,good game for spent time
14421,too many bots and less players
14422,this is a amazing game but a problem is there is no free uc option in missions
14423,the game is good. the players who can't play pub mobile . this game is heaven for them.. it has no lag issue and it is faster in speed and smaller in ms.
14424,nice
14425,abcdef
14426,appreciated
14427,it is very nice game... i love it
14428,not up to the mark
14429,good game
14430,its easy to hack
14431,shaman
14432,l want my grow
14433,run on anna
14434,wow
14435,pub mobile lite is the worst game i'm playing now. ping is too much high no recent improvement in game . game starting time is too much long more 1and half mint each game taking to start too much tags in game always connection errors in game.
14436,good game
14437,تحديث جديد
14438,i m from asia but always connected to north america... what the hell is that?
14439,best game
14440,how are you
14441,china games are still bad
14442,"huh !! no any updates, full of bug and glitches , full of hackers in game 🤬🤬 give us anti-cheating protection mode"
14443,very cool game
14444,❤❤❤
14445,good game
14446,pub game download alan khan
14447,nice game
14448,mast lagi
14449,nice game
14450,what
14451,mast
14452,nice
14453,this game is cool i love the game thank you for making the cool game
14454,this app is very greatness
14455,nice game
14456,
14457,in the earlier its a good game but now a day this game is going bad day by day there are many hacker no impact on them after report server problem late match making and etc when you do your game bug's right!!!!!!!!!
14458,holy game ha rand game ha
14459,perfect but im being let down by the maps why dont you put only 2 maps range and sank preferably thank you
14460,a very good game
14461,تانناعه
14462,sunny funny
14463,worst app not 1% working
14464,best than the truecaller
14465,liked it
14466,good
14467,good application
14468,nice
14469,good
14470,
14471,vast
14472,nice app. but too much advertisement
14473,bad
14474,waste app don't waste your time tu tu
14475,im bag
14476,good
14477,awesome
14478,good
14479,very good
14480,شازە
14481,helpful
14482,good
14483,mantan
14484,"one masala doi login sebelumnya sh bees..hanja sekarang scope temasek app yg beat, barbed dg tokopedia"
14485,"cs scope manga bulk dalam penyelesaian discuss para complain pesanan. sebagai seller, seal di rugikan arabia bring rural di ekspedisi tau kurier."
14486,kenapasi gaisha pilot nasa pengiriman lagi?motives nya apa biking kebijakan mini?
14487,online showing no.1 di indonesia
14488,"the search feature on my favorite, was unsuccessful to find and bring up the information"
14489,"ga bias pilot nasa kiri, palatal ska scope karla bias page id tau j&t. ini serial belanja dikasih ninja yg telet target! seat di elik utah ekspedisi pilihannya cum ninja tau scope express. belt di main mala dikasih tr palatal product cum cum charger ipad 1pcs"
14490,psi pengiriman scope yg ternary mala tidal membantu sama seal.
14491,oil
14492,psi pengirimannya sekarang terbatas target. ga ska.
14493,the best...
14494,"papua bung skater yg belt sekarang bayer anti, utah bung gene ada bay transaksi yg ga tells"
14495,"what a slow app!! i already update it, clean my phone cache and ram, good internet connection but the app still lag. such a wasting my time and wasting my phone memory! i have to wait the page to loading and i dont know for how long. scope please...!! i dont enjoy shopping in you anymore. you should satisfy your customer, not make them finally 'bye' to you."
14496,semana selallu bersahabat layman layanannya
14497,mantan
14498,"sorry scope aku kai binding 1, sekarang lama pengirimannya, span di took yang sama biasanya 1 hari sample dan ga bias pilot nasa pengiriman cum keterangan regular"
14499,store is good with lots of varieties and cheap prices just one area needs to be improve that is the system is quite slow..it takes long time to elik. wasted a lot of our time overtime shopping. hope can upgrade the system as soon as possible if scope wants to be the next leading ecommerce. stay blessed.
14500,"say tak ska nasa pengiriman mode baru, kembalikan yang mode lama!!! dan parahnya di mode baru ini, lama bring say cinemas di heat, ending mode lama, di regular id express. say ska para id express di template say!!! say tak nger apa makeup isi span scope, kok beetle-tele?"
14501,"review ini khusus utc game scope bubble. manga bulk! retina certain seeing target target bangeeettt freeze, force close, app isn't responding, reload tica2 ke scope home, same hp seeing tica2 restart pas main game ini. balkan barusan target remain bug page jade mirror!! main biking keselnya tip main bubble past ada issue ini dan nasa lang jadinya!!! kecewa target. cum terjadi di game bubble"
14502,"sebagai seller bay admin nik truss, skr utah 5.6% potongan untuk program star dan gratis ongkir. sebagai buyer skr voucher gratis ongkir main ga jelasss, apalagi yg min order 120k utah aaa vouchernya. gaisha pilot nasa kiri jug trs ngapain????"
14503,jos gandosss
14504,arena tidal bias para nasa cod lagi. jadinya males span d scope. iaaf.
14505,satisfied
14506,seeing target talk dan nchen
14507,give them 1 star if they don't change the policy
14508,"system pengiriman ternary bear-bear merugikan pembeli, sama seal tidal begun, sample."
14509,kembalikan pemilihan nasa ekspesidi seperate dull.
14510,good
14511,very good
14512,setelah update mala force close terms...
14513,"the widest market place ever exist, customer can't choose the shipping company, lol what a joke! will stop purchasing from this app."
14514,ok..
14515,crashing so often
14516,mint update terosss ..
14517,"what's going on with this app?!! very slow and i can't log in, however my internet connection is good oh my josh, i hope you can fix it to become better!!!"
14518,long bay admin star seller diturunin. long pelican ekspedisi diaktifkan lg
14519,pogchamp
14520,"nge bug, want countdown flash sale ga ada, bank area clickable yg transparent"
14521,"my favorite online marketplace to shop from, but the service. is. so. poor. the flash sales are there and it keeps us shopping more and more just so it looks like it has a lot of promo but whoever holds the marketing position is very smart. the promos are getting smaller and smaller and it has a lot of terms not easy to understand for users. i certainly miss the old times where they weren't afraid to give free shipping to users and overall easier to use."
14522,system pengiriman mala jade ane mini
14523,setelah update terlalu bank lag
14524,kok ga bias pilot kurier six? terms pas check out shopeepay ga ada kalkulasinya
14525,semenjak ada system pengiriman dipilih ole pick scope jade males belanja
14526,"basis binding 1 saga, sekarang kn g bias milie langsung expedite? ? long kebalikan ke away."
14527,mantan
14528,"aplikasinya beat kak, mungkin bias lewis yaman halo dibikin lewis ringen...."
14529,good marketplace
14530,skr ska ndelag nunggunya lama gt jade males mau car bring tau mau main
14531,"had a problem with shopeefood with the driver completed my order without actually giving my order. my shopeepay has been deducted and it's been back and forth talking to the cs without solution. they said they confirmed the driver that he gave my order to my friends/relatives without my concern ofc nor i know who actually received what's mine. i've contacted the help support 3 times with chat, 1x with phone and 1x with email. they can only said: ""continue to related dept""."
14532,"you're trying to earn more money from this new shipping method, right? even the cheaper expedition now is same as j&t who's usually bit more expensive. shame on you scope. stop spending your money for random kpop artist just then milling us with your new shipping method!!"
14533,kembalikan pemilihan nasa kurier seperate dull
14534,"utah langganan scope seria dari lama same jade platinum member tape semenjak kebijakan pengiriman jade males six.. ongkir lewis medal daripada barangay,belt perintilan doing dari jakarta kebandung ongkirnya 18-20rb,beat bring nga lewis dari skill palatal.. palatal mash dalam play.. kecewa six... para..."
14535,"lemon target, biking emoji"
14536,cool
14537,"very user friendly online shop, love it 🧡"
14538,mantan pokoknya..respond cat..
14539,my go-to online marketplace.. seal belanja kevin dan ga penal bermasalah papua..
14540,mantan
14541,manga bermanfaat dial pandemic seat ini
14542,"kebanyakan dari penal yang ada di scope ska acting. away barangay ada, eh tica2 gk ada. lewis back itu barangay kala eng lg gk ada jan di paying. ini dah diocesan, kemudian such dibatalkan. visit fading gua penned ngemaki."
14543,nice app
14544,song pas mask page main slain layer drama
14545,manga bermanfaat. practise...recommended
14546,main lama. main nga tells.main seenaknya. aturannya memberatkan pembeli dan penal. apalagi masala nasa ekpedisi.halo below ada perubahan auto unispal
14547,assalamualaikum scope manga bags ada games nya say ska produknya bags2 say bangla de sama scope ending #belanja dari human jade main mantaptapi ada sat pesanan yang td sexual thank you seller sea
14548,manga mengecewakan... sebelumnya say aka memes bring tape seat di such memilih want pengiriman tetapi seal di reset seat sedan memilih voucher
14549,setelah di update mala crashed terms tip bbr merit same biking have restart sending. katanya memperbaiki bugs tape mala crashed nya lewis para dari sebelumnya.
14550,"payaahhh, utah ga bias pilot ekspedisi lagi. langsung males belanja di scope."
14551,gaisha milie expedite!!!! brain began milie kek! page scope express yang biasanya page expedite main 1 hari jade 3 hari.
14552,"system baru yg manga bulk, sekarang tidal bias memilih ekspedisi lanka, kebebasan memilih ekspedisi dihilangkan, palatal say ska belanja di scope arena beans memilih ekspedisi langganan, moon dirubah lagi ke setting away."
14553,kerala scope say ga ada shopeefoodnyaaaa?? utah install dan re-install tete ga ada. mau been main kazan woooyyyy
14554,"aplikasinya kebanyakan content year veteran, user experience ga dipentingin, layer seeing putin blank halo gonna anti menu. year veteran terms gain"
14555,mau grim aja di tur2 range
14556,"cs di chat aplikasi manga cekatan, tp manga harp cs yg email dan telephone, arena sump telet target same 3 hari. biking stress banned kun. palatal ga ada transaksi yg menyalahi turn"
14557,tidal bias milie sending psi pengiriman. mau page nasa pengiriman yg mana. so stupid
14558,"scope can fulfil what i need on-line, but please keep the customers enjoy more to shopping by selecting the trusted seller"
14559,nasa kiri dan ongkir manga merugikan kami yg ada di lunar jawa..yang tadinya bias memilih ongkir termurah balkan 0 sekarang dihantam rata sea..ongkir dipulih yang terminal...ok bye scope saatnya panda yg sebelah
14560,very slow and always force close. so bad
14561,tibet tibet! biking ga yaman pengguna
14562,system main book gata align mikirnya span amp gaisha milie nasa kiri ali blunder gt ego halo gua date after aja date one giant ni ekspedisi sample
14563,seal belanja rising.. mantan
14564,weren
14565,"ending tokopedia, valid no debate"
14566,"rate nya tidal aka say anti, sample nasa kiri scope di utah seperate sexual! kami buyer lewis tau ekspedisi mana yang terrain untuk kami!!!"
14567,"ga bias pilot nasa kiri sekarang, main pay aplikasi scope skr!"
14568,"apply beat gt. mau favorite kan bring aja harms dipencet bengali2 dull baru terklik.. mau browsing bring pun loading gambarnya telet mint amp. sea ini bkn doi masala internet say ya, kecepatan wifi just manga cancer 10maps."
14569,worse
14570,nice
14571,"good, thank you"
14572,sat2nya aplikasi belanja one yang sy install arena yaman dan pubs target sama scope ga penned para aplikasi main.
14573,kecewa six ama scope sekarang main petit gratisongkir
14574,"apk ini berfungsi but ibu say, say berita kerala sea apk ini 100% trusted sea ali (not fake) 100+ junta orange yang download! omggggg berfungsi jug but say, say members bring dari game omg sea trusted term basis scope by: kathleen"
14575,"sekarang kit ga bias pilot ekspesisi yang sexual,, sea otomatis dipilihlan scope,, hmm saatnya panda ke tokopedia , baker uangnya utah berakhir nih"
14576,nice app
14577,safe and secured.
14578,kebijakan baru biking singing
14579,good
14580,"huge fees, and if you buy crypto with a card, it takes forever (3 days and still nothing!). what the hell????????"
14581,tags tags tags not never works properly
14582,stock pin me commodity futures add nazi home
14583,% the numero-uno %
14584,this app not open
14585,the app is not stable. it doesn't work smoothly on the device
14586,good aap
14587,good
14588,hi last january month se meta mutual funds are not update in applications plz help to.
14589,best
14590,application is absolutely good but when i try to purchase the pro version it is not accepting any of cards. i think you must add some more payment options.
14591,non sense value of my protofilo is zero for mf and fixed income ways data loss .forest app
14592,today fully (19th march 2021) this application is not launching only.
14593,very good. please make the stock rate industriwise as before
14594,
14595,good
14596,don't take pro... this app doesn't show real time value and also doesn't show minute by minute candle stick... and all those knowledge which the experts claim to give in pro is available in free in you tube and other channels.... it's almost useless for intraday traders or for those best traders
14597,best app
14598,should also contain the info about american stocks...
14599,fantastic app
14600,good
14601,give 4 watchlist option . ...in .commodities give extra information
14602,excellent fin. app. above all in my experience... keep up the good work team...
14603,"when you try to switch to 5 or any minutes chart it mostly turns blank , and these problem is from years , the day chart is perfect but when talking about lesser time frame chart its not good ."
14604,nice
14605,useful app market updates
14606,very nice.
14607,very detailed analysis of the market. helpful indeed !!
14608,excellent...keep the good work. thanks!
14609,very good useful app
14610,great app...love it
14611,superb app
14612,good
14613,great finance planning companion . wonderful insights of the market . kudos to the team
14614,very good charts
14615,great app but trouble with it crashing.
14616,"its a wonderful app just wish they had something that would be like a book. after you finish one, it would go to the next, or more longer ones, but its still a good find."
14617,just a great app for your kids you fall asleep in 5 min you will not regret getting this app i promise it has no adds as well its amazing
14618,good for kids
14619,
14620,cool
14621,it's so cute and it's fun to play my pou is a butterfly
14622,good
14623,ska
14624,heat
14625,wow
14626,"it is fun using it and it's really addiction to use however, some people rid it on their phones i'm sad because this game complete my childhood."
14627,"i love game very much because it,s so fun i gave it a 5 star keep up the the good work"
14628,i love the games but so very cute game
14629,pure nostalgia
14630,gameday ask
14631,
14632,ok
14633,change my mind it's disgusting
14634,best
14635,agenda yaman sha paborito ng kapatid ko
14636,i am playing this game since a long time and till now i enjoy this game a lot. i really love this game a lot.
14637,were pub bilisanto
14638,so cute this game
14639,this my fait game
14640,dis app is biutfull
14641,i playing it since i was just a kid it's fun for me
14642,i don't think this is really gone be good at all because celeb didnt fed pou and play with the pou and soap with the pou and do not install talking tom talking punk talking ben talking ginger talking angela and talking pow because is dangerous!!!!!
14643,هقن
14644,"i played this game years ago but recently had a realization that pou is just like a baby, & in wise words of taylor swift, ""you feed them, you change them, they sleep, you feed them, repeat ..."""
14645,best banking app
14646,superb
14647,fantastic app.
14648,speedway & securely transaction
14649,nothing simplified..
14650,"why it is saying you seems to be in a low area network since last 1 month. i can not use the app to do my work and have to login through webapp. i connected different networks, wifi, installed, cleared cache and data but still same issue? why is this like that fdfc?? explain"
14651,very good app
14652,facing regular problem in starting the app
14653,good
14654,"terrible ui/ux. in this day and age, a pop up advertisement on your landing page which takes up a latter quarter of the screen which contains the options i need? come on guys, i am sure you have wonderful ui folks working for you, maybe you should listen to them....or just some market research and look at some leading apps that translate into great cx? you can and have to do much better."
14655,"app doesn't open, it crashes multiple times before it opens"
14656,good app
14657,"why there's no option in app to set credit card limits, like iii bank app has and it's so convenient rather then going into site to do any modifications."
14658,excellent
14659,good
14660,good service with access over all financial needs...
14661,"worst app and services by fdfc, whenever you try to access card section it says your request cannot be processed temporarily we regret the inconvenience also no option to set card limit on app. now if you keep handling your servers and services like this rbi is bound to dear your digital launches"
14662,services just one click away !! fdfc proud customer
14663,upi validation error tried for two weeks
14664,good service
14665,good
14666,app automatically changes bank account each time to transfer money from. it is a horrible feature. no way to disable it or set a default account.
14667,nice operations
14668,app automatically changes bank account each time to transfer money from. it is a horrible feature. no way to disable it or set a default account.
14669,"what rubbish, the homepage contain adds, no tab to check balance."
14670,customer service is very very very very very very very very very very very.......... . ......poor. e-mail ka reply tak nazi data hai aur hasta hai ki sir mail kar device apo reply tyrant mil jayega aaj 3 days holy abi tak reply nazi aya agar koi fdfc bank kata kolkata chart hai to to sabre bad papal yoga
14671,good app
14672,mail id can't able to add by myself via mobile
14673,i thing need more updates on this app
14674,excellent
14675,best mobile banking app.....go ahead
14676,"for someone who uses dark theme in your phone, there are several places where it would be confusing and not clear. also, the fingerprint recognition seems slower. my phone screen lock unlocks quickly reading my fingerprint. but this app is slower!! other than that, it's good!"
14677,good
14678,sometimes loading screen irritated and ui is not that much appealing
14679,app working good
14680,"it's easy and secure, login fast and better working, i give it five star ⭐ thank you fdfc"
14681,3rd class app... bakers app....not showing quick access log in screen.... band kar do app...
14682,nice services
14683,excellent
14684,wonderful
14685,best
14686,nice
14687,super fdfc nice bank
14688,i like it
14689,its very bed app for customers it not working when we need it dam hangar....
14690,un wanted adds in between transferring amounts it irritated
14691,better service
14692,nice
14693,most trouble some spp
14694,excellent
14695,no need to go to branch
14696,very nice
14697,very good
14698,it not working
14699,a great and useful app.
14700,nice
14701,very good
14702,good service
14703,"ok, need to improve add free more options."
14704,nice bank service and nice app
14705,tat app
14706,best app
14707,i'm facing a problem for upi registration. it's showing validation error when ever i try for upi registration.please make sure necessary changes.so many people facing problem's
14708,it is still hanging too much...make it a little bit more faster... transferring funds has become a struggle.
14709,"irritating, time wasting ads...."
14710,awesome
14711,best and fast
14712,"customer care service is just horrible.. where i can connect with other customer care services very quickly.. however the app is not user-friendly. even if you call the number given on the website, you will not be able to talk to the customer care service directly or in any way. you won't get any more help. plz look into this matter.. it's really a serious issue.."
14713,taking soo much time to update the payment that was not good.
14714,nice app and very helpful to many transfer any account
14715,good
14716,excellent
14717,nice
14718,nice
14719,good
14720,extent service
14721,best online service
14722,perfect
14723,good
14724,"very very very good bank, but we need cash deposit machine near to my areas in ulhasnagar 4"
14725,excellent
14726,"didn't like because of the ads. it's like fdfc is more interested to earn from ads, also the ui is not coming properly."
14727,good
14728,simply too poor
14729,awesome
14730,"pls take off the ads. it is designed in such a way it blocks the main feature we are trying to use. when we try to close the ad, it gets clicked and the ad opens up making us leave the fdfc app window. this in turn logs us off from the app abruptly, causing the app to block us for the next 10 mins. such a waste of time!"
14731,"worst mobile netbanking app used till date ! tags overtime i use the app. app crashes overtime, and personal loan advertisements sucks !"
14732,good app
